qid,brand,description,sitelinks,en_title,n_wikipedias,pv_median,pv_latest,months
Q21030814,Jacquemus,French fashion designer and tailor,13,Simon Porte Jacquemus,12,21716,16149,12
Q471891,De Beers,"International corporation that specialises in diamond exploration, diamond mining, diamond retail, rough diamond sales and industrial diamond manufacturing",44,De Beers,44,48599,45447,12
Q124984211,Nude Project,fashion label,0,Nude Project,0,0,0,0
Q122055705,Polène,French leathergoods company,2,Polène,2,3300,2448,12
Q65090803,Fashion Nova,American based fast fashion retail company,3,Fashion Nova,3,7337,6839,12
Q60772401,COS,London-based fashion brand,4,COS (fashion brand),3,8057,6037,12
Q3645582,Brunello Cucinelli,Italian luxury fashion house,10,Brunello Cucinelli (brand),10,7202,6968,12
Q688195,Bally,Swiss luxury fashion house,10,Bally (fashion house),9,5124,6224,12
Q3878818,Charles & Keith,Singaporean fashion company,7,Charles & Keith,6,4813,4410,12
Q17141914,Scotch & Soda,Dutch fashion retail company,6,Scotch & Soda (clothing),5,3639,3029,12
